"ID_RELATION","REGLE_SOURCE","REGLE_CIBLE","TYPE_RELATION","DESCRIPTION","REGIME","SOURCES","STATUT_PROBATOIRE","ACTION_A_REALISER"
"REL-015","R-017","R-007","compose","La non-prolifération et la séparation courant/généalogie se combinent: continuité de fonction favorise mise à jour; identité fonctionnelle/probatoire/temporelle nouvelle justifie création.","documentation","#27/#28; #124; #132; #135 CT1; #139","FORT_AVEC_PORTEE_P28_RECONSTRUITE","AUCUNE; APPLIQUER_P28_SEULEMENT_AUX_ARTEFACTS_DURABLES_DE_GOUVERNEMENT"
"REL-016","R-019","R-020","gouverne","Le typage des interventions humaines empêche de transformer une proposition en ordre; la distribution d'autorité définit qui peut agir, tandis que R-034 borne ce que chaque décision autorise effectivement.","gouvernance","A3; #38-#40; #132/#135; #139","FORT_INTERREGIME","AUCUNE; ARTICULER_AVEC_R-034"
"REL-017","R-020","R-021","limite","L'autonomie technique n'est admissible que si les mutations restent observables/reversibles; une erreur d'écriture ambiguë force read-back et peut suspendre l'autonomie.","technique/gouvernance","#131/#135","FORT","AUCUNE"
"REL-018","R-020","R-024","delegation","Une partie de la charge technique peut être portée par infrastructure/outils seulement après qualification fonctionnelle, sans déléguer les frontières scientifiques.","outillage/gouvernance","#132/#134/#136","FORT","TRAITER_APRES_MATRICE"
"REL-019","R-022","R-024","exemple_mecanisation","Le routage CI C2 est un exemple où une règle de pertinence est mieux portée mécaniquement par le workflow qu'en prose répétée.","CI/outillage","#121/#122/#123","FORT_LOCAL","UTILISER_COMME_CAS_POSITIF_DANS_PHASE_OUTILS"
"REL-020","R-008","R-004","dependance","Un checkpoint peut conserver la transition, mais si le point d'entrée courant ne route pas vers lui ou reste contradictoire, un agent neuf peut reconstruire un état faux.","reprise/documentation","#136 blind tests","FORT","ETUDIER_SUPPORT_DE_RECONSOLIDATION"
"REL-021","R-009","R-015","insuffisance_selection","Même un audit symétrique des résultats porteurs peut perdre les recherches vivantes s'il ne représente que les objets sélectionnés comme résultats.","science/audit","#130 phase2; #132","FORT","CONSERVER_DANS_CRITERE_DE_REPRESENTATION"
"REL-022","R-003","R-001","justifie","Le couplage probatoire explique pourquoi un vert machine n'établit pas plus que la propriété effectivement exercée par le dispositif.","preuve","#94/#119/#23","FORT","AUCUNE"
"REL-023","R-021","R-008","provenance","Après incident technique, les commits conservent la provenance matérielle mais ne remplacent pas un checkpoint intellectuel explicitant l'effet et l'état final.","technique/reprise","#132 __invalid__; #131 502","FORT","AUCUNE"
"REL-024","R-012","R-017","tension_cout","L'exhaustivité documentaire augmente la charge; après lecture et saturation positivement justifiées, la non-prolifération permet de réduire la lecture active sans rendre la pièce irrécupérable.","audit/documentation","#131; #118; #139 checkpoint saturation","FORT_AVEC_CAS_DE_SATURATION","EXPLICITER_DANS_SYNTHESE_LA_CONDITION_DE_REOUVERTURE"
"REL-025","R-025","R-026","complement","Distinguer constance et stabilisation répond à la nature du maintien; indexer l'énoncé répond à son domaine de validité. L'une peut être correcte tandis que l'autre manque.","science/conceptuel","D1; D2; P24/P25; #104","FORT","CONSERVER_DEUX_UNITES"
"REL-026","R-026","R-032","specialise","La non-détection discriminante est un cas spécialisé d'énoncé indexé: la famille de variations testée, le pouvoir du dispositif et la rupture doivent être déclarés avant d'inférer un maintien.","science/probatoire","P27; #39/#40","FORT","AUCUNE"
"REL-027","R-027","R-029","independance_fonctionnelle","Cible/accès/constitution distingue les couches de l'enquête; le typage des chemins qualifie les dépendances qui relient ou produisent des conclusions. L'ablation de #104 montre qu'une fonction ne remplace pas l'autre.","science/transversal","#104; D4; décision canonique","FORT_PAR_ABLATION","CONSERVER_DEUX_UNITES"
"REL-028","R-028","R-031","complement","R-028 borne la portée de ce qui peut être affirmé; R-031 distingue résultat, soutien et verdict. Une conclusion peut être au bon rang probatoire tout en ayant une portée trop large, ou inversement.","science/épistémique","D3; P27; #18; #118","FORT","CONSERVER_DEUX_AXES"
"REL-029","R-031","R-001","specialise","La séparation résultat/soutien/verdict vaut pour tout résultat scientifique ou empirique; le cas résultat machine/CI de R-001 en est une spécialisation technique particulièrement exposée.","science/computation","P27; #18; #102; AGENTS","FORT","AUCUNE"
"REL-030","R-031","R-037","independance_fonctionnelle","Qualifier le rang probatoire d'un résultat ne garantit pas qu'un refus, négatif ou suspendu reste récupérable dans la trajectoire. #104 a fait résister séparément les deux fonctions à l'ablation.","science/probatoire","#104; #102; #18/#35","FORT_PAR_ABLATION","CONSERVER_DEUX_UNITES"
"REL-031","R-033","R-004","complement","R-004 route vers l'autorité courante; R-033 détermine ce que la provenance, le statut ou le compte auteur prouvent réellement. Trouver l'autorité ne suffit pas à prouver une ratification humaine ou une garantie scientifique.","provenance/documentation","P23; #124/#126; #135; #118","FORT","AUCUNE"
"REL-032","R-033","R-019","limite","Le fait qu'une intervention apparaisse sous le compte GitHub de l'auteur ne suffit pas à la typer comme décision humaine lorsqu'un agent peut écrire via ce compte; le typage doit reposer sur la provenance effective de l'intervention.","gouvernance/provenance","#135; A3; #139","FORT","AUCUNE"
"REL-033","R-020","R-034","axes_orthogonaux","R-020 répond à qui peut agir selon nature, réversibilité et coût; R-034 répond à ce qu'une décision précise autorise. Une large autonomie technique ne transforme pas une autorisation bornée en permission générale.","gouvernance","#38-#40; #102; #117; #135","FORT","CONSERVER_DEUX_UNITES"
"REL-034","R-034","R-035","controle","Le contrôle de portée exacte devient bloquant pour une mutation destructive: un diagnostic de déclassement ou de redondance ne couvre pas automatiquement l'acte de supprimer/déplacer.","documentation/Git","#117; AGENTS","FORT_PAR_CONTRECAS","AUCUNE"
"REL-035","R-016","R-036","specialise","R-016 impose de tester l'effet d'un état sur un autre chantier; R-036 ajoute, lorsqu'un passage inter-domaines est réel, la réinstruction dans les objets, accès et discriminants du domaine d'accueil.","science/transversal","#49/#50/#52/#58; #104; #129","FORT","AUCUNE"
"REL-036","R-038","R-020","enforcement","Le confinement versionné, la relecture de l'état/SHA et le rollback rendent praticable une autonomie technique locale sans transférer le jugement scientifique.","Git/gouvernance","#105-#108; #117; #138/#139","FORT","EVALUER_MECANISATION_APRES_SYNTHESE"
"REL-037","R-038","R-021","avant_apres","R-038 gouverne le pré-vol et le confinement d'une mutation; R-021 gouverne le rétablissement de certitude après réponse d'écriture ambiguë. Les deux couvrent des phases différentes du même risque d'intégrité.","technique/Git","#131/#132; #139","FORT","CONSERVER_DEUX_PHASES"
"REL-038","R-039","R-030","complement","Human-First réduit la charge cognitive des surfaces de reprise; le vocabulaire disciplinaire prioritaire protège la fidélité scientifique des termes. Une formulation peut être lisible mais scientifiquement inadéquate, ou correcte mais inutilement opaque.","interface/science","#104; P24/P26; #116/#137","FORT","CONSERVER_DEUX_UNITES"
"REL-039","R-027","R-010","distinction_recursivite","Les rétroactions objet/accès/constitution appartiennent à l'enquête scientifique; la réflexivité audit→contrôle du contrôle appartient au dispositif méthodologique. Elles peuvent interagir mais ne doivent pas être représentées par des arêtes indistinctes.","science/audit","décision canonique; A3; programme_audits; #132/#139","FORT","DISTINGUER_DANS_PROTO_2D"
"REL-040","R-009","R-037","supporte","Une représentation fidèle de la science vivante doit porter les négatifs/refus/suspensions qui conditionnent la reprise; sinon le portefeuille peut sembler plus ouvert ou plus vierge qu'il ne l'est réellement.","science/reprise","#132; #102; #114","FORT","INTEGRER_DANS_CRITERE_DE_REPRISE"
"REL-041","R-026","R-003","compose","L'énoncé doit d'abord préciser la propriété et le régime qu'il prétend qualifier; le couplage probatoire vérifie ensuite que l'instrument ou proxy exerce effectivement cette propriété dans ce régime.","science/preuve","P27; #82; #105-#107","FORT","AUCUNE"
"REL-042","R-015","R-033","controle_source","Une critique externe ne doit être ni privilégiée ni disqualifiée par sa provenance: la symétrie critique impose une épreuve locale, tandis que la provenance reste tracée sans devenir autorité.","méthodologie/provenance","#103; P23","FORT","AUCUNE"
"REL-043","R-035","R-038","compose","Une mutation destructive exige à la fois un pré-vol sémantique sur ce qui serait perdu et un confinement technique versionné; satisfaire l'un ne remplace pas l'autre.","documentation/Git","#117; #14; AGENTS","FORT","AUCUNE"
"REL-044","R-032","R-031","specialise","Une non-détection est d'abord un résultat; son pouvoir discriminant détermine le soutien qu'elle apporte, puis seulement le verdict borné qu'elle autorise.","science/probatoire","P27; #39/#40","FORT","AUCUNE"
