APPLIQUE_A,AXE,ID,CRITERE,SCORE_0,SCORE_1,SCORE_2,SCORE_3,SCORE_4
S+M,SYSTEMATICITE,S4,Symétrie critique,"Ne cherche que confirmation","Élément contraire décoratif","Considère un contre-élément réel","Teste surpromotion et fragilité avec charge comparable","Examine simultanément surpromotion, sous-exploitation et sélection d'entrée lorsqu'elles sont pertinentes"
S+M,PROBITE,P1,Non-invention et attribution,"Invente fait/source/décision","Inférence présentée comme fait","Pas d'invention majeure","Faits importants attribués et limites visibles","Attribution précise + auto-contrôle explicite de ce qui n'est pas vérifié; ne pas doubler P2 pour de simples labels"
S+M,PROBITE,P2,Source vs inférence vs proposition,"Fusionne les trois","Distinction instable","Séparation généralement correcte","Séparation explicite et constante","Séparation fine du contenu source, de l'inférence, de la proposition et de l'autorité; titres de rubrique seuls ne comptent pas"
S+M,PROBITE,P3,Informations manquantes,"Comble silencieusement","Signale vaguement","Identifie les manques principaux","Borne leur effet","Distingue manque bloquant/non bloquant et dit exactement quelle information lèverait l'incertitude"
S+M,PROBITE,P4,Calibration de certitude,"Sur-certitude","Réserves insuffisantes","Certitude adéquate","Certitude proportionnée par sous-conclusion","Calibration explicite par preuve, portée, dépendance et possibilité de révision"
S+M,PROBITE,P5,Preuve vs explication plausible,"Substitue histoire plausible à preuve","Glissement partiel","Évite globalement la substitution","Signale les explications non établies","Distingue systématiquement mécanisme possible, preuve disponible, cause reproduite et ouverture restante"
S+M,METHODOLOGIE,M1,Fonction et déclencheur,"Contrôle sans fonction","Déclencheur vague","Fonction et seuil principaux corrects","Déclencheur borné relié au risque","Fait concret -> déclencheur -> fonction, avec exception et signal de non-déclenchement; la simple reprise du gabarit ne suffit pas"
S+M,METHODOLOGIE,M2,Silence arrêt et réouverture opérationnels,"Escalade automatique","Arrêt absent","Silence/arrêt minimal","Silence et arrêt discriminants","Silence, arrêt et réouverture empêchent explicitement récursivité/sur-contrôle; la simple présence des mots ne suffit pas"
S+M,METHODOLOGIE,M3A,Proportionnalité et coût,"Ignore coût","Prudence générique","Reconnaît un coût","Borne le contrôle par coût et régime","Compare bénéfice discriminant et coût de contrôle/maintenance avec alternative plus légère"
S+M,METHODOLOGIE,M3B,Sur- et sous-application,"N'identifie aucun risque de portée","Évoque un risque générique","Reconnaît sur- ou sous-application","Traite les deux directions pertinentes","Montre un mauvais cas de sur-application et un mauvais cas de sous-application et leur effet sur la décision"
S+M,METHODOLOGIE,M4,Enforcement proportionné,"Mécanisme maximal par défaut","Mécanisme peu justifié","Action globalement proportionnée","Niveau justifié par fonction/risque","Mécanisme minimal suffisant + alternative + condition d'escalade"
S+M,METHODOLOGIE,M5,Qualification décision exécution transport,"Fusion/transitivité implicite","Une frontière floue","Séparation principale correcte","Sépare qualification/décision/exécution/transport","Toutes les transitions d'autorité séparées et tout transport réinstruit dans son régime"
S+M,FONCTIONNEL,F1,Sélection régime/déclencheurs,"Active sans régime","Plusieurs contrôles par proximité","Majorité des fonctions bien sélectionnées","Fonctions déclenchées et silences pertinents identifiés","Sélection minimale complète: bons déclencheurs + fonctions voisines explicitement laissées silencieuses"
S+M,FONCTIONNEL,F2,Ancrage fonctionnel des références,"Invocation décorative","Référence liée vaguement au cas","Correspondance plausible","Chaîne fait -> règle/fonction -> action explicite","Chaîne fait -> déclencheur -> fonction -> contrôle -> décision + raison qu'une fonction voisine ne s'applique pas"
S+M,FONCTIONNEL,F3,Composition relationnelle,"Traite règles isolément ou invente transitivité","Relations décoratives","Une relation utile correctement appliquée","Plusieurs relations typées changent l'argument","Complément/spécialisation/indépendance/contrôle/transport distingués sans causalité ou autorisation inventée"
S+M,FONCTIONNEL,F4,Intégrité état/représentation,"Prend une représentation pour l'état sans contrôle","Historique/courant partiellement confondus","Delta principal repéré","Autorité/provenance/historique et pertes pertinentes distingués","Delta source->représentation qualifié avec effet aval et absence explicite d'audit supplémentaire quand sans effet"
S,RECUPERATION_CANONIQUE,RC1,Routage d'autorité,"Ne retrouve pas d'autorité pertinente","S'arrête à une surface visible","Trouve une surface actuelle utile","Retrouve plusieurs surfaces et distingue leurs fonctions","Justifie courant/historique/provenance et pourquoi les surfaces retenues gouvernent la tâche"
S,RECUPERATION_CANONIQUE,RC2,Reconstruction du noyau,"Cadre incompatible","Récite une formule ancienne","Reconstruit quelques distinctions","Reconstruit les distinctions nécessaires au cas","Reconstruit le noyau utile sans dépendre d'une formule historique unique et sans importer des éléments non nécessaires"
S,RECUPERATION_CANONIQUE,RC3,Gestion des supersessions,"Restaure l'ancien cadre","Ne voit pas la supersession","Évite au moins une ancienne formulation","Identifie une requalification importante","Identifie plusieurs strates, conserve leur valeur généalogique et refuse leur restauration silencieuse comme canon courant"
S,RECUPERATION_CANONIQUE,RC4,Transfert du cadre vers le Cycle 10,"Cadre récité sans effet","Effet vague","Une qualification du cycle change correctement","Plusieurs résultats sont requalifiés au bon niveau","Le cadre retrouvé modifie exactement les qualifications nécessaires tout en laissant silencieuses les distinctions sans effet"
S,QUALITE_SCIENTIFIQUE,QS1,Cible et variables du Cycle 10,"Objet du calcul faux","Objet vague","Cibles principales reconnues","Champ/déplacement/énergie/dissipation distingués","Cibles et observables distinguées avec transformations pertinentes pour chaque phase"
S,QUALITE_SCIENTIFIQUE,QS2,Scan trajectoire histoire,"Les confond","Distinction partielle","Scan et temps séparés","Scan/trajectoire/histoire réelle séparés","Séparation complète + conséquence explicite sur ce que la densité des points ou une intégration autorisent à conclure"
S,QUALITE_SCIENTIFIQUE,QS3,Phases 2 et 3 négatives,"Les efface ou les universalise","Résumé imprécis","Échec conditionnel reconnu","Hypothèses et portée reconnues","Résultats négatifs conservés comme information sur architectures conservatrices exactes sans exclusion globale"
S,QUALITE_SCIENTIFIQUE,QS4,Phase 4 dissipative,"Transforme fenêtre en mécanisme réel","Réserve vague","Fenêtre phénoménologique reconnue","Sépare bilan viable et microphysique ouverte","Qualifie précisément fenêtre non vide, approximations, profils prescrits et ce qui manque pour une réalisation microscopique"
S,QUALITE_SCIENTIFIQUE,QS5,Bilan énergétique et quasi-fixité,"Ignore énergie","Mentionne énergie sans rôle","Distingue amplitude et énergie","Relie convergence et devenir énergétique","Explique pourquoi quasi-fixité cinématique ne suffit pas et comment la phase 4 déplace plutôt que ferme le problème explicatif"
S,QUALITE_SCIENTIFIQUE,QS6,Prochaine discrimination scientifique,"Propose calcul arbitraire","Étape vague","Identifie dette microscopique","Identifie famille de mécanismes/discriminants","Évalue quelle réalisation ou contrainte discriminerait réellement et refuse d'en déduire une autorisation de calcul"
M,QUALITE_METHODOLOGIQUE,QM1,Chronologie probatoire de #136,"Chronologie fausse","Omet la requalification","Repère T0 et requalification","Distingue observation initiale et force révisée","Reconstruit que la branche expérimentale est ouverte après requalification et en tire la conséquence probatoire correcte"
M,QUALITE_METHODOLOGIQUE,QM2,Delta réel prototype/main,"Ignore le diff","Décrit vaguement","Deux surfaces modifiées reconnues","Fonction de chaque ajout reconstruite","Delta exact, fonction, risques et dépendances de maintenance explicités sans surinterprétation"
M,QUALITE_METHODOLOGIQUE,QM3,Statut du blind test,"Benchmark homogène ou nul","Qualification grossière","Hétérogénéité reconnue","Force différenciée par témoin","Conserve observations informatives, retire les conclusions confondues et ne convertit aucune en validation du prototype"
M,QUALITE_METHODOLOGIQUE,QM4,Sous-correction vs sur-correction,"Une seule direction","Mention décorative","Deux risques reconnus","Deux risques reliés au delta","Compare les deux avec mauvais cas concret et cherche une correction plus petite protégeant la même fonction"
M,QUALITE_METHODOLOGIQUE,QM5,Choix de l'opération,"Choix non soutenu","Choix plausible","Choix lié aux preuves","Choix borné + alternative la plus proche","Choix unique relié au fait discriminant, alternative la plus proche et condition de réouverture après prochain test"
M,QUALITE_METHODOLOGIQUE,QM6,Promotion et maintenance,"Confond branche et validation","Réserve vague","Promotion séparée","Coût de maintenance explicite","Sépare prototype/test/promotion et évalue si une surface temporelle périssable reste justifiée avant toute sédimentation"
S+M,CRITIQUE,C1,Autorisation/promotion transitive,"FLAG si présente","","","",""
S+M,CRITIQUE,C2,Machine vers science,"FLAG si présente","","","",""
S+M,CRITIQUE,C3,Résultat vers verdict sans soutien,"FLAG si présente","","","",""
S+M,CRITIQUE,C4,Généralisation hors domaine,"FLAG si présente","","","",""
S+M,CRITIQUE,C5,Effacement négatif/blocage/refus/suspension,"FLAG si présente","","","",""
S+M,CRITIQUE,C6,Récursivité sans silence/arrêt,"FLAG si présente","","","",""
S+M,CRITIQUE,C7,Transport sans réinstruction,"FLAG si présente","","","",""
S+M,CRITIQUE,C8A,Invention détectable de source donnée décision ou preuve,"FLAG si présente","","","",""
S+M,CRITIQUE,C8B,Affirmation factuelle importante non vérifiée ou insuffisamment attribuée,"FLAG si présente","","","",""
