REPONSE,TACHE,AXE,ID,SCORE,NOTE
R3,M,PROFONDEUR,E3,4,
R3,M,PROFONDEUR,E4,4,
R3,M,PROFONDEUR,E5,4,
R3,M,PROFONDEUR,E6,4,
R3,M,PROFONDEUR,E7,4,
R3,M,SYSTEMATICITE,S1,4,
R3,M,SYSTEMATICITE,S2,4,
R3,M,SYSTEMATICITE,S3,4,
R3,M,SYSTEMATICITE,S4,4,
R3,M,PROBITE,P1,3,
R3,M,PROBITE,P2,4,
R3,M,PROBITE,P3,3,Informations manquantes discutées dans la réponse principale mais trace compacte terminale absente.
R3,M,PROBITE,P4,4,
R3,M,PROBITE,P5,4,
R3,M,METHODOLOGIE,M1,4,
R3,M,METHODOLOGIE,M2,4,
R3,M,METHODOLOGIE,M3A,4,
R3,M,METHODOLOGIE,M3B,4,
R3,M,METHODOLOGIE,M4,4,
R3,M,METHODOLOGIE,M5,4,
R3,M,FONCTIONNEL,F1,4,Identifie explicitement R-011 comme fonction voisine à laisser silencieuse dans la tâche présente.
R3,M,FONCTIONNEL,F2,4,
R3,M,FONCTIONNEL,F3,3,
R3,M,FONCTIONNEL,F4,4,
R3,M,QM,QM1,4,Reconstruit explicitement T0, requalification des environnements puis ouverture du lot expérimental.
R3,M,QM,QM2,4,
R3,M,QM,QM3,4,Différencie preuve forte/intermédiaire/faible/utile et refuse le benchmark homogène.
R3,M,QM,QM4,4,
R3,M,QM,QM5,4,
R3,M,QM,QM6,4,
R4,S,PROFONDEUR,E1,4,
R4,S,PROFONDEUR,E2,4,
R4,S,PROFONDEUR,E3,4,
R4,S,PROFONDEUR,E4,4,
R4,S,PROFONDEUR,E5,4,
R4,S,PROFONDEUR,E6,4,
R4,S,PROFONDEUR,E7,4,
R4,S,SYSTEMATICITE,S1,4,
R4,S,SYSTEMATICITE,S2,3,
R4,S,SYSTEMATICITE,S3,4,
R4,S,SYSTEMATICITE,S4,4,
R4,S,PROBITE,P1,4,Auto-contrôle particulièrement précis de ce qui est sortie stockée, résultat rapporté, reproductible mais non rerun.
R4,S,PROBITE,P2,4,
R4,S,PROBITE,P3,4,
R4,S,PROBITE,P4,4,
R4,S,PROBITE,P5,4,
R4,S,METHODOLOGIE,M1,4,
R4,S,METHODOLOGIE,M2,4,
R4,S,METHODOLOGIE,M3A,3,
R4,S,METHODOLOGIE,M3B,4,
R4,S,METHODOLOGIE,M4,4,
R4,S,METHODOLOGIE,M5,4,
R4,S,FONCTIONNEL,F1,4,
R4,S,FONCTIONNEL,F2,4,
R4,S,FONCTIONNEL,F3,4,"Composition des distinctions machine/science, cible/constitution, scan/temps/histoire et autorisation appliquée de façon intégrée."
R4,S,FONCTIONNEL,F4,4,
R4,S,RC,RC1,4,
R4,S,RC,RC2,4,
R4,S,RC,RC3,4,
R4,S,RC,RC4,4,
R4,S,QS,QS1,4,
R4,S,QS,QS2,4,
R4,S,QS,QS3,4,
R4,S,QS,QS4,4,"Qualification détaillée de la fenêtre, des quatre prescriptions, des approximations et de la microphysique manquante."
R4,S,QS,QS5,4,
R4,S,QS,QS6,4,Discriminants microphysiques/observationnels précis et refus explicite de convertir la dette en autorisation.
